leiden,mean,median,count
9,3.546530056686893,3.6774183372010336,2846
0,0.08354103842782576,0.015545044658762025,13877
8,0.07155211706272237,0.010145081564633535,3359
7,-0.023034095417441326,-0.08389436852450322,4053
18,-0.031056438801696642,-0.23885675421868913,31
10,-0.03369844399782145,-0.09777625025522829,2167
2,-0.04144816781191346,-0.09825130898242045,10454
3,-0.04658038305426322,-0.11626421118324454,10030
16,-0.04830008174701455,-0.12478391239137361,1309
1,-0.16286330194412524,-0.18490480669219084,12617
15,-0.22656436474023472,-0.2833597693178389,1337
11,-0.25050316331930145,-0.28540990825253304,1844
4,-0.27988458078784434,-0.31252603834927684,6107
13,-0.3298924963230856,-0.3767216234195112,1580
6,-0.33616650977311113,-0.3754732966084372,4944
17,-0.34082386514902696,-0.4019981764181696,983
5,-0.34369101633255517,-0.3837905250715487,5311
12,-0.39576777194410667,-0.4281225037394148,1782
14,-0.5645732789007749,-0.6076952131709668,1390
